번호,사업장명,소재지전체주소,도로명전체주소,인허가일자,영업상태명,소재지면적,축산업무구분명
21,아이피드동물병원,대전광역시 서구 월평동 300번지 무지개아파트 ,"대전광역시 서구 청사서로 11 (월평동, 무지개아파트)",2013-04-05,운영중,43.2,동물병원
22,이리온 for 몰리스,대전광역시 서구 둔산동 959번지 2호 이마트둔산점3층 ,"대전광역시 서구 둔산북로 41 (둔산동, 이마트둔산점3층)",2014-02-28,운영중,0,동물병원
23,수정동물병원,대전광역시 서구 도안동 905번지 102호 ,"대전광역시 서구 도안북로117번길 33, 102호 (도안동)",2014-04-09,운영중,58.5,동물병원
24,도드람양돈협동조합동물병원,대전광역시 서구 관저동 1971번지 2호 ,"대전광역시 서구 구봉산북로 12, 3층 (관저동)",2014-04-16,운영중,234.93,동물병원
25,아이러브펫동물병원둔산점,대전광역시 서구 둔산동 1380번지 2호 홈플러스대전둔산점 ,"대전광역시 서구 문예로 107, 홈플러스대전둔산점 4층 2호 (둔산동)",2014-07-16,운영중,67.67,동물병원
26,리본 동물병원,대전광역시 서구 갈마동 271번지 28호 ,"대전광역시 서구 계룡로 383, 1층 (갈마동)",2015-01-07,운영중,,동물병원
27,와이즈동물병원,대전광역시 서구 가수원동 897번지 ,대전광역시 서구 원도안로 28 (가수원동),2015-06-23,운영중,0,동물병원
28,웰케어동물병원,대전광역시 서구 관저동 1781번지 ,대전광역시 서구 관저북로13번길 23-12 (관저동),2015-08-28,운영중,,동물병원
29,관저종합동물병원,대전광역시 서구 관저동 1542번지 ,대전광역시 서구 구봉로 133 (관저동),2016-05-17,운영중,0,동물병원
30,만년YES동물병원,대전광역시 서구 만년동 135번지 ,대전광역시 서구 만년로 14 (만년동),2016-06-30,운영중,37.71,동물병원
31,닥터코기동물병원,대전광역시 서구 탄방동 710번지 로고스빌딩 ,"대전광역시 서구 둔산남로 94, 로고스빌딩 1층 (탄방동)",2016-10-12,운영중,132.4,동물병원
32,정담 동물병원,대전광역시 서구 갈마동 712번지 영우빌딩 ,"대전광역시 서구 신갈마로 274, 영우빌딩 (갈마동)",2017-06-15,운영중,59.29,동물병원
33,24아프리카동물메디컬센터,"대전광역시 서구 탄방동 605번지 2,3층 ","대전광역시 서구 문정로 16, 2,3층 (탄방동)",2018-06-04,운영중,421.61,동물병원
34,다정한 동물병원,대전광역시 서구 둔산동 1383번지 햇님아파트 상가 112호 ,"대전광역시 서구 둔산북로 175, 1층 112호 (둔산동, 햇님아파트)",2019-02-25,운영중,,동물병원
35,타임동물메디컬센터,대전광역시 서구 둔산동 1276번지 ,대전광역시 서구 둔산로 57 (둔산동),2019-04-19,운영중,,동물병원
