"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
30170-00071,선유,어린이공원,대전광역시 서구 관저동 1365,대전광역시 서구 관저동 1365,36.298187,127.339259,1504.1,평행봉 외2종,조합놀이대 외3종,-,-,공원등4주 외4종,1998-12-29,대전광역시 서구청,042-611-5736,2020-02-18
30170-00072,시롱,어린이공원,대전광역시 서구 관저동 1397,대전광역시 서구 관저동 1397,36.298756,127.343272,1525.3,스텝싸이클외4종,조합놀이대 외3종,자전거보관대,-,공원등6주 외5종,1998-12-29,대전광역시 서구청,042-611-5736,2020-02-18
30170-00073,찬샘,어린이공원,대전광역시 서구 관저동 1393,대전광역시 서구 관저동 1393,36.295551,127.340958,2017.6,농구대외 8종,조합놀이대 외2종,자전거보관대,-,공원등3주외3종,1998-12-29,대전광역시 서구청,042-611-5736,2020-02-18
30170-00074,신계,어린이공원,대전광역시 서구 복수동 453,대전광역시 서구 복수동 453,36.300951,127.378165,1751,바디실업외 5종,조합놀이대외2종,-,-,공원등8주 외3종,1996-06-25,대전광역시 서구청,042-611-5736,2020-02-18
30170-00075,벌말,어린이공원,대전광역시 서구 복수동 646,대전광역시 서구 복수동 646,36.298619,127.379391,2608.4,농구대외6종,조합놀이대외2종,-,-,공원등5주 외5종,1996-06-25,대전광역시 서구청,042-611-5736,2020-02-18
30170-00076,천변,어린이공원,대전광역시 서구 복수동 689,대전광역시 서구 복수동 689,36.298221,127.380595,1678.9,-,조합놀이대외3종,음수대,-,공원등5주 외6종,1996-06-25,대전광역시 서구청,042-611-5736,2020-02-18
30170-00077,느티나무,어린이공원,대전광역시 서구 복수동 898,대전광역시 서구 복수동 898,36.296676,127.379542,1600,노르딕머신외1종,조합놀이대외3종,-,-,공원등4주 외5종,1996-06-25,대전광역시 서구청,042-611-5736,2020-02-18
30170-00078,옻샘,어린이공원,대전광역시 서구 복수동 815,대전광역시 서구 복수동 815,36.295968,127.376842,1694.5,베드민턴장외3종,조합놀이대외 2종,-,-,공원등6주 외5종,1996-06-25,대전광역시 서구청,042-611-5736,2020-02-18
30170-00079,방울샘,어린이공원,대전광역시 서구 복수동 752,대전광역시 서구 복수동 752,36.297574,127.376469,1852.6,노르딕머신외2종,조합놀이대외2종,-,-,공원등4주 외5종,1996-06-25,대전광역시 서구청,042-611-5736,2020-02-18
30170-00080,서낭당,어린이공원,대전광역시 서구 복수동 569,대전광역시 서구 복수동 569,36.299161,127.374836,1830.1,허리돌리기외5종,조합놀이대외2종,-,-,공원등4주 외5종,1996-06-25,대전광역시 서구청,042-611-5736,2020-02-18
30170-00081,샛별,어린이공원,대전광역시 서구 복수동 503,대전광역시 서구 복수동 503,36.298811,127.377781,1800.8,농구대외3종,조합놀이대외2종,-,-,공원등5주 외5종,1996-06-25,대전광역시 서구청,042-611-5736,2020-02-18
30170-00082,두레박,어린이공원,대전광역시 서구 흑석동 842,대전광역시 서구 흑석동 842,36.255103,127.339768,1497.7,-,조합놀이대외1종,-,-,공원등3주 외1종,1997-12-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00083,금평,어린이공원,대전광역시 서구 금평4길 11,대전광역시 서구 흑석동 983,36.254111,127.341743,1580.1,싸이클링 외 5종,조합놀이대외1종,파고라,-,공원등3주 외1종,1997-12-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00084,햇살아래,어린이공원,대전광역시 서구 관저동 1574,대전광역시 서구 관저동 1574,36.294499,127.332929,1665.8,싸이클링 외2종,조합놀이대 외3종,-,-,글담,2005-03-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00085,느리울,어린이공원,대전광역시 서구 관저동 1594,대전광역시 서구 관저동 1594,36.293786,127.341347,3283.7,싸아클링 외2종,조합놀이대 외3종,-,-,글담외1종,2005-03-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00086,창골,어린이공원,대전광역시 서구 관저동 1603,대전광역시 서구 관저동 1603,36.294499,127.332929,1511.3,베드민턴및 포스트,조합놀이대 외3종,-,-,경계펜스,2005-03-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00087,동방,어린이공원,대전광역시 서구 관저동 1616,대전광역시 서구 관저동 1616,36.294499,127.332929,3328.6,싸이클링외 6종,조합놀이대 외2종,-,-,경계펜스,2005-03-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00088,원도안,어린이공원,대전광역시 서구 도안동 1113,대전광역시 서구 도안동 1113,36.324127,127.348102,2406.7,-,조합놀이대 외5종,-,-,공원등5주 외2종,2001-01-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00089,미나리,어린이공원,대전광역시 서구 가수원동 1237,대전광역시 서구 가수원동 1237,36.303473,127.349413,1532,어깨관절놀이 외2종,조합놀이대 외 1종,-,-,공원등4주 외3종,2001-01-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00090,용소,어린이공원,대전광역시 서구 가수원동 989,대전광역시 서구 가수원동 989,36.303473,127.349413,15745.6,농구대 외5종,조합놀이대 외3종,-,-,공원등6주 외4종,2001-01-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00091,나비,어린이공원,대전광역시 서구 도안동 1401,대전광역시 서구 도안동 1401,36.324127,127.348102,1523.7,-,조합놀이대 외3종-,-,-,공원등4주 외2종,2001-01-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00092,바다,어린이공원,대전광역시 서구 가수원동 1091,대전광역시 서구 가수원동 1091,36.303473,127.349413,1702.5,어깨관절놀이 외3종,조합놀이대 외4종,-,-,공원등6주 외3종,2001-01-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00068,관저,어린이공원,대전광역시 서구 관저동 1156,대전광역시 서구 관저동 1156,36.294645,127.331191,2997,농구대외 5종,조합놀이대 외1종,음수대,-,공원등6주 외5종,1997-11-26,대전광역시 서구청,042-611-5736,2020-02-18
30170-00069,새아름,어린이공원,대전광역시 서구 관저동 1247,대전광역시 서구 관저동 1247,36.300566,127.337577,1494.8,평행봉외 7종,조합놀이대 외4종,-,-,공원등6주 외3종,1998-12-29,대전광역시 서구청,042-611-5736,2020-02-18
30170-00093,윗용소,어린이공원,대전광역시 서구 가수원동 925,대전광역시 서구 가수원동 925,36.303473,127.349413,2761.3,어깨관절놀이 외2종,조합놀이대 외1종,-,-,공원등9주 외4종,2001-01-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00094,노곡,어린이공원,대전광역시 서구 관저동 625-50,대전광역시 서구 관저동 625-50,36.297444,127.323618,1594.6,-,조합놀이대외 3종,-,-,사각수목보호등6주,1996-06-25,대전광역시 서구청,042-611-5736,2020-02-18
30170-00095,방아,어린이공원,대전광역시 서구 관저동 660,대전광역시 서구 관저동 660,36.295081,127.328099,2704,야외체육시설물,조합놀이대외 3종,-,야외공연장,볼라드,1996-06-25,대전광역시 서구청,042-611-5736,2020-02-18
30170-00096,변정,어린이공원,대전광역시 서구 변정3길 18,대전광역시 서구 변동 45-1,36.3233085247,127.382723,1649.6,윗몸일으키기외7종,조합놀이대외1종,음수대,-,점멸기외3종,1970-11-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00097,송산,어린이공원,대전광역시 서구 도마동 207-3,대전광역시 서구 도마동 207-3,36.321391,127.371471,888.2,평행봉외1종,그네외2종,-,-,공원등2주외3종,1970-11-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00098,용화,어린이공원,대전광역시 서구 용화7길 68,대전광역시 서구 도마동 45-1,36.3216042346,127.374508,1652.9,스텝싸이클 등 5,,,,,1970-11-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00099,도화,어린이공원,대전광역시 서구 도마동 132-4,대전광역시 서구 도마동 132-4,36.315805,127.380843,1661.2,싸이클링 외 3종,조합놀이대외2종,,-,공원등2주 외2종,1970-11-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00100,제비네,어린이공원,대전광역시 서구 도마동 165-1,대전광역시 서구 도마동 165-1,36.312823,127.375135,1622,트위스트외 4종,조합놀이대외7종,음수대외1종,-,가로등4주외3종,1970-11-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00101,도안숲,소공원,대전광역시 서구 원도안로 179번길 40,대전광역시 서구 도안동 1354,36.31878054,127.3424648,2865.5,다목적구장외1종,흔들놀이대외 1종,-,-,종합안내판외1종,2001-01-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00102,용소,수변공원,대전광역시 서구 원도안로242번길 15-11,대전광역시 서구 가수원동 1072,36.32495028,127.3467505,15745.6,운동시설물,-,-,-,관리사무소외3종,2001-01-05,대전광역시 서구청,042-611-5732,2020-02-18
30170-00103,옥녀봉,체육공원,대전광역시 서구 도안북로 158,대전광역시 서구 도안동 971,36.33173992,127.3448293,50149.5,축구장 외5종,,주차장 등,,저류지 외1종,2008-12-23,대전광역시 서구청,042-611-5732,2020-02-18
30170-00001,은평,근린공원,대전광역시 서구 월평중로 55,대전광역시 서구 월평동 313,36.3594696440,127.3635046649,31220,운동시설,유희시설,편익시설,,,1988-04-12,대전광역시 서구청,042-611-5732,2020-02-18
30170-00002,변동,근린공원,대전광역시 서구 변동 산2-8 외 14,대전광역시 서구 변동 산2-8 외 14,36.325275,127.375201,30582,배드민턴장 외1종,,화장실외 1종,기념비 외4종,지압보도 외4종,1986-09-26,대전광역시 서구청,042-611-5732,2020-02-18
30170-00003,가수원,근린공원,대전광역시 서구 가수원중로 65번길 22,대전광역시 서구 가수원동 802-1,36.2981900209,127.3524924319,10961.3,생활체육시설 외2종,조합놀이대 외5종,화장실 외2종,-,관리사무소 외2종,1985-08-13,대전광역시 서구청,042-611-5732,2020-02-18
30170-00004,갈마,문화공원,대전광역시 서구 갈마역로 55,대전광역시 서구 갈마동 820 외 1,36.35550811,127.3740079,91983.1,축구장 외4종,,화장실 외3종,"국민생활관,도서관",관리사 외14종,1988-04-23,대전광역시 서구청,042-611-5732,2020-02-18
30170-00005,샘머리,근린공원,대전광역시 서구 둔산북로 85,대전광역시 서구 둔산동 1379 외 2,36.35603899,127.3839261,117306.6,운동시설,유희시설,편익시설,교양시설,기타시설,1988-04-23,대전광역시 서구청,042-611-5732,2020-02-18
30170-00006,둔지미,근린공원,대전광역시 서구 둔산동 953 외 3,대전광역시 서구 둔산동 953 외 3,36.355551,127.389945,59991.9,마레트골프장,평의자 외 2종,화장실외 1종,기념비,휴지통 외 6개소,1988-04-23,대전광역시 서구청,042-611-5732,2020-02-18
30170-00007,보라매,근린공원,대전광역시 서구 둔산동 1544 외 3,대전광역시 서구 둔산동 1544 외 3,36.355551,127.389945,54466.8,생활체육시설,,화장실,야생초화원,파고라,1989-12-23,대전광역시 서구청,042-611-5732,2020-02-18
30170-00008,씨애틀,근린공원,대전광역시 서구 둔산동 1385,대전광역시 서구 둔산동 1385,36.355551,127.389945,13077.6,,유희시설,편익시설,교양시설,,1988-04-23,대전광역시 서구청,042-611-5732,2020-02-18
30170-00009,남선,근린공원,대전광역시 서구 남선로 66,대전광역시 서구 탄방동 1084,36.3464002460,127.3981777635,148517,종합체육관 외3종,놀이터,주차장,야외무대 외1종,관리사 외3종,1988-04-23,대전광역시 서구청,042-611-5732,2020-02-18
30170-00010,장갓골,근린공원,대전광역시 서구 관저동 1129,대전광역시 서구 관저동 1129,36.294499,127.332929,10099.2,농구장 외3종,놀이터 외3종,음수장 외1종,,안내판 외1종,1995-03-31,대전광역시 서구청,042-611-5732,2020-02-18
30170-00011,신선암,근린공원,대전광역시 서구 관저중로 65,대전광역시 서구 관저동 1151,36.2981289,127.334078,11733.5,농구대 외5종,유아용미끄럼대 외2종,화장실,,등의자 외1종,1995-03-31,대전광역시 서구청,042-611-5732,2020-02-18
30170-00104,하늘아래,체육공원,대전광역시 서구 구봉산북로 121,대전광역시 서구 관저동 1580,36.29264125,127.3340326,66916.6,마레트골프장 외 5종,조합놀이대 외2종,-,-,세족장 외5종,2005-03-19,대전광역시 서구청,042-611-5732,2020-02-18
30170-00105,도마실,체육공원,대전광역시 서구 도마동 137-47,대전광역시 서구 도마동 137-47,36.313274,127.385242,12438,운동시설,유희시설,편익시설,,,2009-08-07,대전광역시 서구청,042-611-5732,2020-02-18
30170-00106,안샘,어린이공원,대전광역시 서구 관저동 산 46-26,대전광역시 서구 관저동 산 46-26,36.293549,127.325441,7444.8,야외체육시설3,시소 외3종,-,-,-,1996-06-25,대전광역시 서구청,042-611-5736,2020-02-18
30170-00107,옥은,어린이공원,대전광역시 서구 관저동 875-59,대전광역시 서구 관저동 875-59,36.294498,127.332929,1671,야외체육시설4,조합놀이대 외3종,-,-,볼라드5 외1종,1996-06-25,대전광역시 서구청,042-611-5736,2020-02-18
30170-00012,도안,근린공원,대전광역시 서구 도안동 651-4 일원,대전광역시 서구 도안동 651-4 일원,36.318841,127.340666,670355,게이트볼장 외 4종,어린이놀이터 외1종,피크닉장외 4종,,안내판 외1종,1976-03-27,대전광역시 서구청,042-611-5732,2020-02-18
30170-00013,복수,근린공원,대전광역시 서구 복수동 산10 일원,대전광역시 서구 복수동 산10 일원,36.306424,127.380207,95950,게이트볼장 외3종,,주차장 외2종,,프크닉장,1986-09-22,대전광역시 서구청,042-611-5732,2020-02-18
30170-00014,월평,근린공원,대전광역시 서구 월평동 외 6,대전광역시 서구 월평동 외 6,36.342104,127.357557,3994734,운동시설,유희시설,편익시설,,싸이클 외3종,1965-10-14,대전광역시 서구청,042-611-5732,2020-02-18
30170-00015,느리울,근린공원,대전광역시 서구 관저동 1419,대전광역시 서구 관저동 1419,36.294499,127.332929,13909,철봉 외7종,놀이공간 외3종,음수대 외1종,,그늘집 외7종,1988-12-29,대전광역시 서구청,042-611-5732,2020-02-18
30170-00016,구봉,근린공원,대전광역시 서구 관저동 264일원,대전광역시 서구 관저동 264일원,36.294499,127.332929,10368.9,체력단련장 외2종,어린이놀이터 외3종,,,놀이터 안내판 외1종,2005-03-19,대전광역시 서구청,042-611-5732,2020-02-18
30170-00017,소태,근린공원,대전광역시 서구 도안동 1368 외 1,대전광역시 서구 도안동 1368 외 1,36.324127,127.348102,13615.5,야외체육시설,유희시설,편익시설,교양시설,종합안내판외1종,2001-01-05,대전광역시 서구청,042-611-5732,2020-02-18
30170-00018,봉우재,근린공원,대전광역시 서구 관저동 1662 외 1,대전광역시 서구 관저동 1662 외 1,36.294499,127.332929,10044.2,운동시설물 외1종,숲속놀이터 외1종,,,마을유래비 외1종,2001-01-05,대전광역시 서구청,042-611-5732,2020-02-18
30170-00019,도안7,근린공원,대전광역시 서구 가수원동 835 일원,대전광역시 서구 가수원동 835 일원,36.303473,127.349413,683766.2,게이트볼장 외4종,어린이놀이대,화장실,,"야외무대, 안내판 외1종",2001-01-05,대전광역시 서구청,042-611-5732,2020-02-18
30170-00035,웅기,어린이공원,대전광역시 서구 괴정동 138-5,대전광역시 서구 괴정동 138-5,36.336034,127.375737,2132.6,웨밍암 외4종,조합놀이대 외3종,화장실,-,공원등4주 외4종,1971-04-02,대전광역시 서구청,042-611-5736,2020-02-18
30170-00036,우정,어린이공원,대전광역시 서구 용문로 41-17,대전광역시 서구 괴정동 425-1,36.3398095717,127.388738,1741.8,서핑롤링머신 외2종,조합놀이대 외1종,화장실,-,공원등 6주 외2종,1971-04-02,대전광역시 서구청,042-611-5736,2020-02-18
30170-00037,새들,어린이공원,대전광역시 서구 괴정로 198번길 46,대전광역시 서구 가장동 23-1,36.3311589861,127.389596,1631.1,지압보도외6종,조합놀이대 외4종,음수대외1종,-,공원등 4주 외4종,1971-04-02,대전광역시 서구청,042-611-5736,2020-02-18
30170-00038,예정,어린이공원,대전광역시 서구 동서대로 1047번길 16,대전광역시 서구 내동 16-1,36.3313606563,127.378459,1662.1,농구대외6종,조합놀이대 외1종,음수대외1종,,공원등 6주외 4종,1970-11-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00039,안골,어린이공원,대전광역시 서구 내동 161-7,대전광역시 서구 내동 161-7,36.335231,127.371706,1501.7,농구대외3종,조합놀이대 외3종,음수대외1종,,공원등 2주외 4종,1971-04-02,대전광역시 서구청,042-611-5736,2020-02-18
30170-00040,안산뜸,어린이공원,대전광역시 서구 갈마동 363-1,대전광역시 서구 갈마동 363-1,36.348391,127.368625,1870,에어워킹 외2종,조합놀이대 외1종,화장실 외1종,-,공원등5주 외3종,1985-08-02,대전광역시 서구청,042-611-5736,2020-02-18
30170-00041,우마장,어린이공원,대전광역시 서구 갈마동 408-3,대전광역시 서구 갈마동 408-3,36.342198,127.369617,1700,오금펴기 외11종,조합놀이대 외2종,화장실,-,공원등 1주 외2종,1985-08-02,대전광역시 서구청,042-611-5736,2020-02-18
30170-00042,뒷뜰,어린이공원,대전광역시 서구 계룡로 342번길 28,대전광역시 서구 갈마동 295-17,36.3526914615,127.3663073411,2750,워밍업 외5종,조합놀이대 외3종,음수대,-,공원등 2주 외4종,1985-08-02,대전광역시 서구청,042-611-5736,2020-02-18
30170-00043,한마음,어린이공원,대전광역시 서구 갈마동 392-6,대전광역시 서구 갈마동 392-6,36.344106,127.368018,4150,롤링웨이스트 외3종,조합놀이대 외2종,음수대 외2종,-,공원등10주 외3종,1985-08-02,대전광역시 서구청,042-611-5736,2020-02-18
30170-00020,오량,어린이공원,대전광역시 서구 복수동 287-4,대전광역시 서구 복수동 287-4,37.566535,126.977969,1152,노르딕머신외 3종,조합놀이대외2종,화장실,-,공원등5주 외3종,1985-11-05,대전광역시 서구청,042-611-5736,2020-02-18
30170-00021,계림,어린이공원,대전광역시 서구 계백로 1300번길 43,대전광역시 서구 정림동 18-16,36.306514,127.367934,1219.3,노르딕머신외 4종,2인용시소 외 2종,화장실,-,-,1976-06-11,대전광역시 서구청,042-611-5736,2020-02-18
30170-00022,강변,어린이공원,대전광역시 서구 정림동 563,대전광역시 서구 정림동 563,36.306349,127.364088,3110.2,등치기,조합놀이대 외1종,화장실,-,공원등9주 외5종,1982-11-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00023,수밋들,어린이공원,대전광역시 서구 정림동로 8-6,대전광역시 서구 정림동 635,36.304027,127.3664138077,4021.1,크로스컨트리오 3종,조합놀이대 외 3종,음수대외1종,-,공원등11주 외5종,1982-11-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00024,정림,어린이공원,대전광역시 서구 정림동 668,대전광역시 서구 정림동 668,36.301691,127.366837,2478.7,스텝싸이클외 7종,조합놀이대 외4종,음수대외1종,-,공원등7주 외3종,1982-11-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00025,목운,어린이공원,대전광역시 서구 변동서로 28번길 133-35,대전광역시 서구 변동 254-182,36.3316180925,127.368743,1503,하늘걷기 외2종,조합놀이대 외4종,-,-,공원등5주 외4종,1986-02-22,대전광역시 서구청,042-611-5736,2020-02-18
30170-00026,평화,어린이공원,대전광역시 서구 변동 254-364,대전광역시 서구 변동 254-364,36.330229,127.368042,1673,에어워킹 외4종,조합놀이대 외4종,음수대외1종,-,공원등5주 외3종,1986-02-22,대전광역시 서구청,042-611-5736,2020-02-18
30170-00027,선경,어린이공원,대전광역시 서구 탄방로 65,대전광역시 서구 탄방동 67-1,36.3425635837,127.3931143859,1932.9,등펴기외 6종,조합놀이대 외3종,음수대외1종,-,공원등2주 외4종,1971-04-02,대전광역시 서구청,042-611-5736,2020-02-18
30170-00028,새말,어린이공원,대전광역시 서구 탄방동 780,대전광역시 서구 탄방동 780,36.344056,127.390392,1627.4,위밍쇼울더 외3종,조합놀이대 외3종,화장실외1종,-,공원등9주 외5종,1988-03-30,대전광역시 서구청,042-611-5736,2020-02-18
30170-00029,도산,어린이공원,대전광역시 서구 탄방동 1051,대전광역시 서구 탄방동 1051,36.346508,127.395813,1503.6,싸이클링 외5종,조합놀이대 외2종,자전거보관대,-,공원등4주 외5종,1988-03-30,대전광역시 서구청,042-611-5736,2020-02-18
30170-00030,문정,어린이공원,대전광역시 서구 둔산남로 191번길 24,대전광역시 서구 둔산동 2006,36.3500004,127.398921,1570.8,온몸근육풀기 외2종,조합놀이대,-,국기게양대1개소,공원등5주 외2종,1991-04-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00031,윗둔지미,어린이공원,대전광역시 서구 둔산동 1193,대전광역시 서구 둔산동 1193,36.350596,127.379071,1753.8,노르딕머신+에어위킹,조합놀이대 외3종,음수대외1종,-,공원등8주 외3종,1991-04-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00032,계룡,어린이공원,대전광역시 서구 둔산동 1234,대전광역시 서구 둔산동 1234,36.346429,127.381419,1566.2,레그프레스 외 5종,조합놀이대 외3종,음수대외1종,-,공원등9주 외2종,1991-04-19,대전광역시 서구청,042-611-5736,2020-02-18
30170-00033,백운,어린이공원,대전광역시 서구 도산로 335번길 62,대전광역시 서구 괴정동 51-1,36.337816,127.386385,1672.7,에어서핑 외 2종,조합놀이대 외2종,-,-,공원등 5주 외4종,1971-04-02,대전광역시 서구청,042-611-5736,2020-02-18
30170-00034,지치울,어린이공원,대전광역시 서구 괴정로 16번길 5,대전광역시 서구 괴정동 123-6,36.339704,127.376899,1662.1,스텝싸이클 등 3종,조합놀이대 외4종,음수대 외1종,-,공원등4주 외5종,1971-04-02,대전광역시 서구청,042-611-5736,2020-02-18
30170-00044,건능골,어린이공원,대전광역시 서구 갈마로 103번길 41,대전광역시 서구 갈마동 402-1,36.344806,127.371591,2000,워밍암 외4종,조합놀이대 외1종,-,-,공원등 3주 외3종,1985-08-02,대전광역시 서구청,042-611-5736,2020-02-18
30170-00045,명학,어린이공원,대전광역시 서구 갈마중로 43,대전광역시 서구 갈마동 985,36.3476491585,127.374279,1546.4,트윈트위스트 외3종,조합놀이대 외2종,음수대,-,공원등 4주 외6종,1988-12-31,대전광역시 서구청,042-611-5736,2020-02-18
