약국명칭,약국전화번호,약국소재지(도로명),약국구분
승보약국,042-523-7485,대전광역시 서구 계룡로 633 (탄방동),약국
시정약국,042-525-3300,대전광역시 서구 도산로 197 (변동),약국
시청비타민약국,042-486-1701,"대전광역시 서구 둔산중로 50, 113호 (둔산동, 파이낸스타워)",약국
시티약국,042-471-4300,대전광역시 서구 둔산로 76 (둔산동),약국
신보건약국,042-472-6388,대전광역시 서구 만년로 78 (만년동),약국
신영흥약국,042-523-5633,대전광역시 서구 도산로 353 (용문동),약국
실로암약국,042-545-0638,"대전광역시 서구 관저로 164, 1층 (관저동)",약국
아르누보수약국,042-472-5356,"대전광역시 서구 둔산중로 20 (탄방동, 나비家 아르누보팰리스)",약국
아은약국,042-534-4867,대전광역시 서구 도산로 158 (변동),약국
애플약국,042-486-5188,대전광역시 서구 대덕대로 179 (둔산동),약국
약손약국,042-484-2718,"대전광역시 서구 월평북로 11, 103호 (월평동, 주공아파트상가)",약국
엄지약국,042-536-2238,"대전광역시 서구 계룡로 628, 1층 (용문동)",약국
연세코끼리약국,042-536-9484,대전광역시 서구 계룡로 613 (탄방동),약국
연일약국,042-472-4947,"대전광역시 서구 둔산로 228, 1층 (둔산동)",약국
연합수약국,042-545-9750,"대전광역시 서구 관저북로 15, 관저D&A프라자 104호 (관저동)",약국
연합약국,042-537-5590,대전광역시 서구 계룡로 605 (탄방동),약국
열린약국,042-542-2306,"대전광역시 서구 관저북로 78, 106호 (관저동)",약국
예인당한약국,042-541-2011,"대전광역시 서구 관저로 176, 101호 (관저동)",한약국
오라클약국,042-471-5661,"대전광역시 서구 대덕대로 182, 1층 (둔산동, 오라클빌딩)",약국
오렌지약국,042-522-6787,"대전광역시 서구 계룡로 616, 1층 (괴정동)",약국
온누리약국,042-546-2277,대전광역시 서구 계백로1158번길 114 (가수원동),약국
온약국,042-483-4114,대전광역시 서구 대덕대로 396 (만년동),약국
올리브약국,042-489-0220,대전광역시 서구 월평북로 88 (월평동),약국
옵티마진명약국,042-527-8648,"대전광역시 서구 도산로 159 (변동, 신성빌딩)",약국
우남웰약국,042-488-1207,"대전광역시 서구 대덕대로 199, 1층 (둔산동)",약국
우리들약국,070-4416-4050,대전광역시 서구 계룡로 621 (탄방동),약국
우리약국,042-484-8687,"대전광역시 서구 둔산중로 38, 109호 (둔산동, 둔산메트르존빌딩)",약국
우리팜약국,042-477-0021,"대전광역시 서구 대덕대로 219, 5층 (둔산동)",약국
우성약국,042-582-1522,"대전광역시 서구 정림동로5번길 23, 1층 (정림동)",약국
원광한약국,,"대전광역시 서구 가수원로 72, 나동 202호 (가수원동, 은아아파트1단지)",한약국
원앙약국,042-541-1314,"대전광역시 서구 관저북로 12, 1층 (관저동)",약국
원약국,042-487-7278,"대전광역시 서구 문정로 88, 1층 101호 (탄방동)",약국
월평종로약국,042-487-8588,대전광역시 서구 청사서로 12 (월평동),약국
은아약국,042-541-0390,"대전광역시 서구 계백로1158번길 9, 1층 (가수원동)",약국
은하수약국,042-483-0058,대전광역시 서구 둔산남로 46 (둔산동),약국
은하약국,042-486-9600,대전광역시 서구 탄방로7번길 65 (탄방동),약국
을지다사랑약국,042-472-5700,"대전광역시 서구 대덕대로234번길 45 (둔산동, 하이베라스)",약국
을지실로암약국,042-482-0036,대전광역시 서구 대덕대로234번길 45 (둔산동),약국
을지온누리약국,042-488-3882,"대전광역시 서구 대덕대로242번길 48, 1층 (둔산동)",약국
을지참조은약국,042-489-2552,"대전광역시 서구 둔산서로 81, 1층 (둔산동)",약국
이화누리약국,042-477-3331,"대전광역시 서구 청사로 130, 103호 (월평동, 청사로프라자)",약국
이화약국,042-541-8272,대전광역시 서구 관저로 157 (관저동),약국
인과원약국,042-527-0072,대전광역시 서구 신갈마로 120 (갈마동),약국
인영약국,042-484-5333,"대전광역시 서구 둔산로 134, 3층 (둔산동)",약국
인화약국,042-523-1343,대전광역시 서구 도솔로 68 (도마동),약국
일영약국,042-484-2146,"대전광역시 서구 청사로 228, 307호 (둔산동, 청사오피스텔)",약국
자연약국,042-488-3696,대전광역시 서구 청사로 234 (둔산동),약국
정림종로약국,042-583-8933,"대전광역시 서구 계백로 1272, 1층 (정림동)",약국
정림푸른약국,042-582-2048,대전광역시 서구 정림로 18 (정림동),약국
정산한약국,042-537-1228,"대전광역시 서구 도마4길 51, 1층 (도마동)",한약국
정성약국,042-522-3367,"대전광역시 서구 갈마로 251, 한민쇼핑 (괴정동)",약국
정약국,042-523-1233,대전광역시 서구 도솔로 96 (도마동),약국
제생본한약국,042-585-8575,"대전광역시 서구 갈마중로 35, 1층 101호 (갈마동)",한약국
조아약국,042-485-6920,대전광역시 서구 둔산로 214-1 (둔산동),약국
종로약국,042-472-4757,대전광역시 서구 둔산로 206 (둔산동),약국
좋은약국,042-585-3893,"대전광역시 서구 갈마로 255, 2층 (괴정동)",약국
준약국,042-586-2226,"대전광역시 서구 복수동로 39-26, 103호 (복수동, 초록마을@3단지상가)",약국
지씨지센타약국,042-487-8871,"대전광역시 서구 월평서로 7, 지하1층 (월평동)",약국
지영약국,042-484-2076,"대전광역시 서구 월평북로 11, 106호 (월평동, 주공아파트상가)",약국
진달래약국,042-487-1131,"대전광역시 서구 월평동로 45, 1층 (월평동)",약국
참건강약국,042-535-5256,"대전광역시 서구 도산로393번길 62, 101호 (탄방동, 필하우스)",약국
참사랑약국,042-525-9383,대전광역시 서구 동서대로 1090 (변동),약국
참사랑온누리약국,042-485-5882,대전광역시 서구 계룡로553번안길 37 (탄방동),약국
천사약국,042-487-5370,"대전광역시 서구 청사로 228, 106호 (둔산동, 청사오피스텔)",약국
천수약국,042-533-5014,대전광역시 서구 도산로 276 (가장동),약국
청담약국,042-527-4551,대전광역시 서구 계룡로500번길 43 (탄방동),약국
청사약국,042-487-1161,"대전광역시 서구 청사로 189, 지하1층 (둔산동, 정부종합청사)",약국
초록큰사랑약국,042-587-0055,"대전광역시 서구 복수동로 61, 102호 (복수동)",약국
케이엠티약국,042-528-8826,"대전광역시 서구 계룡로 586, 105호 (괴정동)",약국
코끼리약국,042-542-7505,대전광역시 서구 도안동로 3 (가수원동),약국
큰마을약국,042-523-3817,"대전광역시 서구 대덕대로 150, 203호 (갈마동, 큰마을아파트)",약국
타임약국,042-826-7552,"대전광역시 서구 도안북로 107, 106호 (도안동, 성광타워도안)",약국
탄방대한약국,042-487-0019,"대전광역시 서구 문정로2번길 95, 주안빌딩 102, 103호 (탄방동)",약국
탄방우리약국,042-486-9911,"대전광역시 서구 문정로48번길 70, 1층 (탄방동)",약국
탄방한마음약국,042-489-5952,대전광역시 서구 문정로 30 (탄방동),약국
태양약국,042-486-0416,대전광역시 서구 대덕대로 226 (둔산동),약국
태평양약국,042-584-7755,대전광역시 서구 정림로 56-1 (정림동),약국
평촌약국,042-583-9520,대전광역시 서구 벌곡로 417 (평촌동),약국
푸른솔약국,042-488-5203,대전광역시 서구 월평중로 24 (월평동),약국
프라자약국,,"대전광역시 서구 문예로 19, 스카이빌딩 1층 (탄방동)",약국
플러스약국,042-482-5525,"대전광역시 서구 문정로48번길 58, 1층 (탄방동)",약국
필약국,042-488-6363,"대전광역시 서구 둔산남로 87, 1층 4호 (둔산동)",약국
하나로약국,042-582-2411,"대전광역시 서구 계백로 1436, 지하1층 (도마동)",약국
하나약국,,"대전광역시 서구 월평서로 11, 신신빌딩 (월평동)",약국
한밭약국,042-585-6878,대전광역시 서구 계백로 1418 (도마동),약국
한신약국,042-482-5898,대전광역시 서구 문정로 174 (둔산동),약국
한양메디약국,042-471-6543,대전광역시 서구 문정로 134 (탄방동),약국
한우리약국,042-484-8838,"대전광역시 서구 문정로90번길 60, 105호 (탄방동, 한우리아파트상가)",약국
해동약국,042-535-1515,대전광역시 서구 도산로 412 (용문동),약국
해든약국,042-472-1898,"대전광역시 서구 둔산로 25, 1층 (둔산동)",약국
해맑은약국,042-541-8277,"대전광역시 서구 도안동로11번길 10, 105호 (가수원동)",약국
해성약국,042-535-5231,대전광역시 서구 제비네4길 129 (도마동),약국
햇살가득한약국,,"대전광역시 서구 둔산북로 175, 104호 (둔산동, 햇님아파트)",한약국
행복가득가톨릭약국,042-534-0222,"대전광역시 서구 도산로 351, 1층 (용문동)",약국
행복한약국,042-541-0349,"대전광역시 서구 관저중로95번길 99, 120호 (관저동)",한약국
향촌약국,042-485-8874,"대전광역시 서구 둔산로 15, 109호 (둔산동, 향촌아파트상가)",약국
허룡약국,042-525-5050,대전광역시 서구 도솔로 313 (괴정동),약국
혜성약국,042-485-6355,"대전광역시 서구 둔산남로 30, 108호 (둔산동, 녹원아파트상가)",약국
황실약국,042-489-6733,"대전광역시 서구 청사로 65, 115호 (월평동, 황실코아)",약국
회복약국,042-484-8276,"대전광역시 서구 문예로 65, 3층 (둔산동)",약국
흰돌약국,042-482-0170,"대전광역시 서구 둔산북로 215 (둔산동, 가람아파트상가)",약국
힐링한약국,042-471-2235,대전광역시 서구 둔산로206번길 7 (둔산동),한약국
