"설치장소",설치위치,운영시간,발급민원종류,소재지도로명주소,소재지지번주소,관리기관명,전화번호,위도,경도,데이터기준일자
"홈플러스(둔산점)",1층 매장 입구,(평일)00:00~24:00+(주말)00:00~24:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 문예로107(둔산동),대전광역시 서구 둔산동 1380-2,대전광역시 서구청,042-288-2911,36.3563716971,127.3891640624,2020-04-17
"국민연금공단 대전지부",1층 민원실 앞,(평일)08:00~21:00+(주말)08:00~21:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 문정로6(탄방동),대전광역시 서구 탄방동 608,대전광역시 서구청,042-288-2911,36.3448597284,127.3808857729,2020-04-17
"하나은행(도마동지점)",1층 365코너,(평일)07:00~23:00+(주말)07:00~23:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 도산로51(도마동),대전광역시 서구 도마동172-15,대전광역시 서구청,042-288-2911,36.3134165698,127.3795168108,2020-04-17
MG새마을금고도안지점(가수원동),1층 365코너,(평일)07:00~23:00+(주말)07:00~23:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 원도안로43(가수원동),대전광역시 서구 가수원동 850,대전광역시 서구청,042-288-2911,36.3080270916,127.3476509550,2020-04-17
"하나로마트관저점",1층 매장,(평일)09:00~22:00+(주말)09:00~22:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 구봉로111(관저동),대전광역시 서구 관저동 1523,대전광역시 서구청,042-288-2911,36.2967280824,127.3356576146,2020-04-17
"롯데백화점",백화점 3층,(평일)10:30~20:00+(주말)10:30~20:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 계룡로598(괴정동),대전광역시 서구 괴정동 423-1,대전광역시 서구청,042-288-2911,36.3406935729,127.3895583397,2020-04-17
"초록마을농협(복수동)",1층 입구,(평일)09:00~17:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 복수동로46(복수동),대전광역시 서구 복수동 482,대전광역시 서구청,042-288-2911,36.3002199627,127.3782861075,2020-04-17
"대전고용복지센터",1층 로비,(평일)09:00~18:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 문정로56(탄방동),대전광역시 서구 탄방동 659,대전광역시 서구청,042-288-2911,36.3464487633,127.3855811366,2020-04-17
"용문역하나은행",하나은행 365코너,(평일)07:00~23:00+(주말)07:00~23:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 계룡로636(용문동),대전광역시 서구 용문동 594-1,대전광역시 서구청,042-288-2911,36.3385356850,127.3924570124,2020-04-17
"갈마도서관",1층 로비,(평일)08:00~22:00+(주말)08:00~22:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 신갈마로127번길 138,대전광역시 서구 갈마동 427-45,대전광역시 서구청,042-288-2911,36.3408915363,127.3656951246,2020-04-17
"구봉신협도안지점",365코너안(목원대학교앞),(평일)07:00~23:00+(주말)07:00~23:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 도안북로117(도안동),대전광역시 서구 도안동 898,대전광역시 서구청,042-288-2911,36.3302678901,127.3415171911,2020-04-17
"샘머리코아(둔산동)",상가1층,(평일)00:00~24:00+(주말)00:00~24:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 청사로281(둔산동),대전광역시 서구 둔산동 908,대전광역시 서구청,042-288-2911,36.3617834289,127.3943296842,2020-04-17
"대전과학기술대학교",신성관 2층,(평일)00:00~24:00+(주말)00:00~24:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 혜천로100(복수동),대전광역시 서구 복수동 333,대전광역시 서구청,042-288-2911,36.3017851449,127.3757686017,2020-04-17
"목원대학교",학생회관 본관 1층,(평일)00:00~24:00+(주말)00:00~24:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 도안북로88(도안동),대전광역시 서구 도안동 800,대전광역시 서구청,042-288-2911,36.3288663981,127.3374481857,2020-04-17
"배재대학교",21세기관 1층,(평일)09:00~19:00,주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인서+토지대장등본+임야대장등본+건축물대장+건설기계등록원부+자동차등록원부+수급자증명서+장애인증명서+한부모가족증명서+농지원부+농업경영체등록확인서+농업경영체증명서+병적증명서+지방세세목별과세증명서+졸업증명서+졸업예정증명서+제적증명서+성적증명서+학생생활기록부+교육비납입증명서 등,대전광역시 서구 배재로155-40(도마동),대전광역시 서구 도마동 439-6,대전광역시 서구청,042-288-2911,36.3232380927,127.3660759070,2020-04-17
