업종명,업소명,업소소재지(도로명),소재지전화
미용업(일반),신신미용타운,대전광역시 서구 계룡로264번길 38-1 (월평동),042-535-2912
미용업(일반),리수나미용실,대전광역시 서구 계룡로342번길 209 (갈마동),042-534-4954
미용업(일반),이수자헤어갤러리,"대전광역시 서구 둔산로 214 (둔산동,(2층)",042-485-2569
미용업(일반),헤어시티미용실,"대전광역시 서구 배재로 155-7, 108호 (도마동)",042-533-4944
미용업(일반),이지수미용실,"대전광역시 서구 문정로170번길 46 (둔산동,(1층)",042-486-2237
미용업(일반),이연호미용실,대전광역시 서구 둔산로 201 (둔산동),042-482-4514
미용업(일반),훼미리미용타운,대전광역시 서구 큰마을4길 6 (탄방동),042-534-2818
미용업(일반),박정아헤어클럽,대전광역시 서구 계룡로500번길 33 (탄방동),042-523-4241
미용업(일반),초원미용실,"대전광역시 서구 만년로 45, 204호 (만년동, 초원아파트상가 )",042-486-6121
미용업(일반),다우리미용실,대전광역시 서구 계룡로354번길 8 (갈마동),042-531-4750
미용업(일반),아람미용실,"대전광역시 서구 월평북로 11, 상가동 202호 (월평동,주공아파트3단지)",042-484-5679
미용업(일반),머피미용실,대전광역시 서구 갈마로147번길 93 (갈마동),042-532-5710
미용업(일반),티지미용실,대전광역시 서구 도솔로335번길 15 (괴정동),042-526-3103
미용업(일반),드림헤어살롱,대전광역시 서구 대덕대로112번길 64 (갈마동),042-536-0902
미용업(일반),머리나라미용실,"대전광역시 서구 도솔로 274, 1층 (내동)",042-524-7081
미용업(일반),궁중미용실,대전광역시 서구 가수원중로 4-28 (가수원동),042-541-1159
미용업(일반),요술가위헤어룸,"대전광역시 서구 청사서로 40 (월평동,둔산프라자2층)",042-485-6729
미용업(일반),럭키미용실,"대전광역시 서구 둔산북로 160, 상가동 102호 (둔산동,한마루아파트)",042-483-3317
미용업(일반),센스미용타운,"대전광역시 서구 도마5길 69, 1층 (도마동, 1층일부)",042-523-1049
미용업(일반),자르슈 헤어샵,"대전광역시 서구 대덕대로161번길 42, 1층 (갈마동)",042-582-0264
미용업(일반),다사랑미용실,"대전광역시 서구 청사로 70 (월평동,누리@상가 115호)",042-485-8240
미용업(일반),향촌미용실,대전광역시 서구 갈마역로25번길 9-16 (갈마동),042-487-5155
미용업(일반),비앤지헤어살롱,"대전광역시 서구 청사서로 29, 210호 (월평동, 샛별아파트상가)",042-488-7600
미용업(일반),참사랑헤어샵,"대전광역시 서구 탄방로7번길 3, 1층 (탄방동)",042-472-7858
미용업(일반),쌈지헤어샵,"대전광역시 서구 청사로 70, 2층 207호 (월평동, 누리상가)",042-483-8687
미용업(일반),헤어빌리지 미용실,"대전광역시 서구 청사서로 11, 1층 107호 (월평동)",042-488-8001
미용업(일반),이호경헤어터치,"대전광역시 서구 둔산남로 30, 상가동 204호 (둔산동,녹원아파트)",042-483-6515
미용업(일반),모델라인헤어샵,대전광역시 서구 정림로 18 (정림동),042-586-3327
미용업(일반),수 헤어갤러리,대전광역시 서구 도솔로 261-2 (내동),042-535-3122
미용업(일반),오영주헤어샵,"대전광역시 서구 만년로 25, 상가동 202호 (만년동,강변아파트)",042-489-0202
미용업(일반),산호헤어샵,"대전광역시 서구 계룡로571번길 65 (탄방동,(산호@상가204호)",042-485-1249
미용업(일반),제주미용실,"대전광역시 서구 문정로150번길 15, 1(일부)층 (탄방동)",042-487-7284
미용업(일반),남희까꼬뽀꼬,"대전광역시 서구 계룡로571번길 65, 상가동 201호 (탄방동,산호아파트)",042-472-8878
미용업(일반),화이트미용실,대전광역시 서구 들말2길 57 (가장동),042-522-2988
미용업(일반),한미준미용실,대전광역시 서구 월평동로 26 (갈마동),042-486-4244
미용업(일반),에딩헤어,대전광역시 서구 문정로90번길 15 (탄방동),042-488-6227
미용업(일반),오스카미용실,대전광역시 서구 중반5길 31 (변동),042-523-5171
미용업(일반),박실헤어조이,"대전광역시 서구 관저동로90번길 16, 105호 (관저동)",042-543-7917
미용업(일반),리앙뜨,대전광역시 서구 도솔로 144 (도마동),042-526-9026
미용업(일반),칼라미용실,"대전광역시 서구 만년로 25, 1층 104호 (만년동, 강변아파트상가동)",042-4820-3435
미용업(일반),미쉘헤어뷰티살롱,"대전광역시 서구 문정로 124, 2층 (탄방동)",042-486-2246
미용업(일반),헤어쉬크,대전광역시 서구 대덕대로151번길 26 (갈마동),042-525-1255
미용업(일반),리츠칼미용실,대전광역시 서구 갈마중로8번길 10 (갈마동),042-532-8255
미용업(일반),김해영미용실,대전광역시 서구 정림로 50 (정림동),042-581-5088
미용업(일반),머리향기미용실,"대전광역시 서구 복수중로 38, 목화(아)A상가동 117호 (복수동)",042-585-7782
미용업(일반),부부미용실,"대전광역시 서구 관저북로51번길 24-24, 1(일부)층 (관저동)",042-545-5959
미용업(일반),가람미용실,대전광역시 서구 갈마역로25번길 13 (갈마동),042-525-7359
미용업(일반),효성미용실,"대전광역시 서구 도산로 11, 상가동 (도마동,효성타운)",042-585-9430
미용업(일반),청청헤어샵,대전광역시 서구 신갈마로230번길 9 (갈마동),042-483-8933
미용업(일반),신헤어뷰티샵,대전광역시 서구 갈마로 247 (괴정동),042-522-1401
미용업(일반),권태원헤어스터디,"대전광역시 서구 계백로1300번길 15 (정림동,(1층)",042-527-2316
미용업(일반),헤어갤러리,"대전광역시 서구 관저서로 24 (관저동,(구봉마을 9단지 상가 203호)",042-365-5830
미용업(일반),제비미용실,대전광역시 서구 문정로112번안길 46 (탄방동),042-483-5722
미용업(일반),남인선미용실,대전광역시 서구 도솔로 63 (도마동),042-526-1471
미용업(일반),혜인미용실,대전광역시 서구 동서대로1080번길 54 (변동),042-535-9372
미용업(일반),미스타미용실,대전광역시 서구 둔산로 142 (둔산동),042-488-6479
미용업(일반),사랑미용실,대전광역시 서구 배재로 120 (도마동),042-531-8072
미용업(일반),연헤어라인,"대전광역시 서구 신갈마로 140, 1층 (갈마동, 1층일부)",042-545-3221
미용업(일반),제이헤어,대전광역시 서구 갈마중로37번길 27 (갈마동),042-525-9395
미용업(일반),마야미용실,"대전광역시 서구 도산로370번길 55, 1층 108호 (용문동, 서우아파트상가)",042-531-8854
미용업(일반),헤어샵다옴,"대전광역시 서구 신갈마로 156-14, 1층일부층 (갈마동)",042-523-4234
미용업(일반),가혜숙미용실,"대전광역시 서구 월평새뜸로 5 (월평동,패션월드 3층 323호)",042-483-3880
미용업(일반),권홍패밀리헤어,"대전광역시 서구 대덕대로162번길 23 (갈마동,(1층)",042-522-5530
미용업(일반),미씨미용실,대전광역시 서구 계룡로 663-52 (용문동),042-525-2820
미용업(일반),행복한미용실,"대전광역시 서구 가수원로 72, 상가동 106호 (가수원동,은아아파트1단지)",042-541-1993
미용업(일반),아름미용실,대전광역시 서구 도마로 37 (도마동),042-531-4612
미용업(일반),미앤끼미용실,"대전광역시 서구 관저북로 52 (관저동,대자연@상가201호)",042-541-5839
미용업(일반),도도헤어샵,대전광역시 서구 도산로 99 (도마동),042-532-2326
미용업(일반),머리쟁이,대전광역시 서구 관저동로 47-3 (관저동),042-527-2652
미용업(일반),머리사랑미용실,대전광역시 서구 도마6길 61 (도마동),042-531-1334
미용업(일반),박양순헤어아뜨레,"대전광역시 서구 둔산로 234-1 (둔산동,(2층)",042-472-7661
미용업(일반),박영순미용실,대전광역시 서구 계룡로367번길 43 (갈마동),042-485-0738
미용업(일반),모드에미용실,"대전광역시 서구 용문로 91 (용문동,(1층)",042-531-4401
미용업(일반),서울헤어칼라,대전광역시 서구 도솔로519번길 27 (용문동),042-522-1956
미용업(일반),명동미용실,대전광역시 서구 도마19길 6 (도마동),042-523-9655
미용업(일반),한마루헤어?,"대전광역시 서구 둔산북로 160, 상가동 107호 (둔산동,한마루아파트)",042-483-0025
미용업(일반),열린미용실,대전광역시 서구 만년로16번길 11 (만년동),042-485-0735
미용업(일반),아트헤어라인,"대전광역시 서구 괴정로 90, 1층 (괴정동)",042-483-5987
미용업(일반),김정효미용실,대전광역시 서구 대덕대로162번길 95 (갈마동),042-533-1441
미용업(일반),백합미용실,"대전광역시 서구 청사서로 29, 상가동 102호 (월평동,샛별아파트)",042-472-9599
미용업(일반),목련미용실,"대전광역시 서구 정림서로138번길 21, 상가동 201호 (정림동,백목련아파트)",042-582-7748
미용업(일반),여옥헤어왁스,대전광역시 서구 갈마역로25번길 9-3 (갈마동),042-531-0765
미용업(일반),샐리연헤어숍,대전광역시 서구 계백로1158번길 19 (가수원동),042-541-3201
미용업(일반),샛별미용타운,"대전광역시 서구 청사서로 29, 지하B6호 (월평동, 샛별아파트상가)",042-487-8210
미용업(일반),조정순헤어샵,대전광역시 서구 둔산남로203번길 28 (둔산동),042-485-5732
미용업(일반),양파이야기미용실,"대전광역시 서구 도마로5번길 26 (도마동,(1층)",042-524-7943
미용업(일반),리치헤어,대전광역시 서구 계백로1286번길 107 (정림동),042-585-8354
미용업(일반),까치방미용실,대전광역시 서구 오량1길 53 (복수동),042-584-2300
미용업(일반),개성시대헤어센스,대전광역시 서구 월평로90번길 26 (월평동),042-472-7271
미용업(일반),미플러스헤어클럽,"대전광역시 서구 관저로 80, 상가동 205호 (관저동,주공아파트8단지)",042-542-2626
미용업(일반),이쁜여우미용실,대전광역시 서구 계룡로367번길 92 (갈마동),042-484-5848
미용업(일반),머리깍쟁이미용실,"대전광역시 서구 월평중로13번길 32, 1층 (월평동)",042-482-6214
미용업(일반),비쥬헤어,"대전광역시 서구 청사로 5, 2층 206호 (월평동, 하나로아파트 상가)",042-487-4506
미용업(일반),헤어체인지,"대전광역시 서구 월평서로25번길 6, 1층 (월평동)",042-471-1881
미용업(일반),허준헤어 샤크존시청점,"대전광역시 서구 둔산중로 19, 2층동 (탄방동,샤크존)",042-472-0090
미용업(일반),이철헤어커커,"대전광역시 서구 계룡로 598, 9층 (괴정동)",042-526-2326
미용업(일반),동산미용실,"대전광역시 서구 갈마중로7번길 42, 상가1층동 (갈마동,동산아파트)",042-526-5952
미용업(일반),한헤어,"대전광역시 서구 문정로40번길 64, 2층 202호 (탄방동)",042-536-0032
미용업(일반),지영미용실,대전광역시 서구 둔산남로199번길 35 (둔산동),042-471-4422
미용업(일반),송이헤어샵,대전광역시 서구 남선로 35-18 (탄방동),042-485-1021
미용업(일반),새롬미용실,"대전광역시 서구 도산로370번길 23 (용문동,(1층 1호)",042-584-6816
미용업(일반),창조미용실,"대전광역시 서구 관저북로 52 (관저동,(대자연@상가 103호)",042-542-2837
미용업(일반),제이하우스헤어,"대전광역시 서구 도마로 4, 1층 (도마동)",042-526-8020
미용업(일반),김성연헤어갤러리,"대전광역시 서구 대덕대로 415, 106호 (만년동, 상아@상가)",042-472-0204
미용업(일반),다모아미용실,대전광역시 서구 변정1길 7 (변동),042-527-3592
미용업(일반),미가엘헤어뷰티,대전광역시 서구 용문로 41-88 (괴정동),042-533-1645
미용업(일반),미소헤어샵,"대전광역시 서구 변동로 103 (변동,(1층)",042-537-2687
미용업(일반),서연수헤어샵,대전광역시 서구 갈마로117번길 16-4 (갈마동),042-522-6602
미용업(일반),메이드미용실,대전광역시 서구 만년남로11번길 41 (만년동),042-488-1123
미용업(일반),마샬헤어샵,"대전광역시 서구 대덕대로155번길 17, 1층 (갈마동)",042-526-3184
미용업(일반),수희헤어갤러리,"대전광역시 서구 갈마로 62-1, 2층 (갈마동)",042-533-2726
미용업(일반),김민순헤어샵,"대전광역시 서구 중반5길 131, 1층 (변동)",042-533-6988
미용업(일반),머리쟁이,"대전광역시 서구 월평동로 45, 상가동 108호 (월평동,진달래아파트)",042-488-2232
미용업(일반),도현미용실,"대전광역시 서구 신갈마로 46, 112호 (내동)",042-522-7377
미용업(일반),비비드헤어,대전광역시 서구 신갈마로 133 (갈마동),042-525-3859
미용업(일반),해피헤어20000,"대전광역시 서구 월평북로 11, 상가동 205호 (월평동,주공아파트1단지)",042-482-7607
미용업(일반),제이헤어,대전광역시 서구 도산로370번길 48 (용문동),042-536-9909
미용업(일반),경성미용실,"대전광역시 서구 대덕대로162번길 43, 103호 (갈마동)",042-534-0510
미용업(일반),이현주헤어샵,"대전광역시 서구 배재로 185 (도마동,대아@상가 101호)",042-525-2580
미용업(일반),머리꾸미기미용실,대전광역시 서구 계룡로406번길 42 (갈마동),042-532-3750
미용업(일반),굿모닝헤어시티,대전광역시 서구 도마6길 51 (도마동),042-522-2202
미용업(일반),샤론헤어,대전광역시 서구 동서대로1064번길 55 (변동),042-525-0585
미용업(일반),한스헤어,"대전광역시 서구 둔산남로 127 (둔산동,목련@ 중앙상가 201호)",042-471-5959
미용업(일반),정미용타운,대전광역시 서구 대덕대로 10 (내동),042-526-0689
미용업(일반),황제헤어샵,"대전광역시 서구 둔산북로 215 (둔산동,가람@ 상가 지하1층)",042-483-7779
미용업(일반),정인헤어샵,"대전광역시 서구 대신2길 112, 1층 (도마동)",042-583-5100
미용업(일반),여우미장,대전광역시 서구 월평로 76 (월평동),042-472-7650
미용업(일반),장민옥헤어라인,"대전광역시 서구 만년남로 8, 상록수(아)상가동 103호 (만년동)",042-487-1597
미용업(일반),클레오파트라,"대전광역시 서구 가장로 106, 해리상가동 201호 (가장동,삼성나르매@)",042-361-0077
미용업(일반),블랙앤화이트헤어닥터,대전광역시 서구 계룡로245번길 16 (월평동),042-488-2149
미용업(일반),헤어피플,"대전광역시 서구 대덕대로162번길 51 (갈마동,덕수빌딩102호)",042-523-9416
미용업(일반),이헤나헤어아트,대전광역시 서구 괴정로11번길 95 (갈마동),042-522-5219
미용업(일반),케이투미용실,"대전광역시 서구 월평서로6번길 57, 1층 (월평동)",042-487-6613
미용업(일반),무지개미용실,대전광역시 서구 갈마로313번길 19 (가장동),042-531-7480
미용업(일반),최가미장,"대전광역시 서구 도산로 11, 상가동 112호 (도마동,효성타운)",042-584-3477
미용업(일반),진헤어코디,"대전광역시 서구 월평선사로 11, 1층 105호 (월평동)",042-487-5311
미용업(일반),김미자머리방,"대전광역시 서구 둔산로230번길 14 (둔산동,1층)",042-472-4488
미용업(일반),희망헤어샵,대전광역시 서구 도마13길 43 (도마동),042-531-2390
미용업(일반),까까바헤어,대전광역시 서구 월평로 92-1 (월평동),042-486-2982
미용업(일반),로마미용실,대전광역시 서구 조달청길 60 (도마동),042-531-3888
미용업(일반),포인트헤어,"대전광역시 서구 월평중로 50 (월평동,전원@상가 109호)",042-485-0332
미용업(일반),손미용실,대전광역시 서구 도솔5길 19 (도마동),042-522-7019
미용업(일반),누보헤어by김기숙,"대전광역시 서구 월평북로 89 (월평동,테마빌딩2층)",042-471-6665
미용업(일반),내가잘가는미용실,"대전광역시 서구 정림동로7번길 36 (정림동,(1층)",042-584-3819
미용업(일반),오페라미용실,대전광역시 서구 문정로 170 (둔산동),042-488-7229
미용업(일반),엄정식헤어샵,대전광역시 서구 가수원로 38 (가수원동),042-541-9204
미용업(일반),수정미용실,대전광역시 서구 괴정로 106 (괴정동),042-523-1455
미용업(일반),선헤어,"대전광역시 서구 대덕대로 415, 1층 101호 (만년동, 상아아파트 상가동)",042-487-0999
미용업(일반),박성호헤어갤러리,대전광역시 서구 한밭대로570번길 40-6 (월평동),042-472-4274
미용업(일반),커트클럽,"대전광역시 서구 가장로 106 (가장동,삼성나르매@ 별리상가118호)",042-538-0890
미용업(일반),에벤에셀,"대전광역시 서구 갈마로295번길 49 (가장동,(1층)",042-534-4201
미용업(일반),샤론헤어갤러리,"대전광역시 서구 계룡로562번길 37 (괴정동,(1층)",042-522-3340
미용업(일반),쥬리헤어클리닉,"대전광역시 서구 신갈마로 46 (내동,롯데@ 상가 118호)",042-526-3006
미용업(일반),롯데미용실,"대전광역시 서구 신갈마로 46 (내동,(2층 210호)",042-535-2855
미용업(일반),하모니헤어샵,"대전광역시 서구 가장로 96, 2층 (가장동)",042-531-4794
미용업(일반),홍미용실,"대전광역시 서구 계룡로536번길 9 (괴정동,한신상가 103호)",042-526-4533
미용업(일반),미사랑미용실,대전광역시 서구 도솔로328번길 101 (가장동),042-527-1239
미용업(일반),헤어이미지,"대전광역시 서구 둔산중로 19, 2층 205호 (탄방동, 샤크존)",042-483-1997
미용업(일반),김경애헤어필,대전광역시 서구 신갈마로 153 (갈마동),042-523-2562
미용업(일반),세흥미용실,대전광역시 서구 괴정로181번길 18-1 (용문동),042-527-8808
미용업(일반),김송정머리터,"대전광역시 서구 대덕대로168번길 18, 202호 (갈마동, 오벨리스크)",042-471-3360
미용업(일반),정진숙헤어샵,대전광역시 서구 남선로59번길 39 (탄방동),042-483-2232
미용업(일반),이명희헤어클럽,"대전광역시 서구 관저북로 80 (관저동,원앙마을@상가201호)",042-541-2111
미용업(일반),헤어아트이슈미용실,대전광역시 서구 도마로 33 (도마동),042-531-4612
미용업(일반),신진미용실,대전광역시 서구 가수원로 40 (가수원동),042-541-8783
미용업(일반),전영미헤어,"대전광역시 서구 문정로 77 (탄방동,(324,325호)",042-488-6608
미용업(일반),송주연헤어빌,"대전광역시 서구 둔산북로 22 (둔산동,둔산라이프2층214호)",042-488-5100
미용업(일반),도도헤어플러스,"대전광역시 서구 청사서로 11 (월평동,무지개@ 상가 101호)",042-487-2772
미용업(일반),사람이꽃보다아름다워,대전광역시 서구 가수원로 60 (가수원동),042-541-5779
미용업(일반),유라미용실,"대전광역시 서구 문정로170번길 151, 1층 일부 (둔산동)",042-486-6945
미용업(일반),방주헤어미즈,대전광역시 서구 도산로 120 (도마동),042-525-0157
미용업(일반),조이헤어,"대전광역시 서구 둔산로230번길 7 (둔산동, 1층일부)",042-471-8682
미용업(일반),오이수헤어샵,대전광역시 서구 신갈마로 63 (갈마동),042-532-7650
미용업(일반),궁전미용실,"대전광역시 서구 관저북로 71 (관저동,(166호)",042-541-5775
미용업(일반),한정미헤어아트,"대전광역시 서구 청사서로 70 (월평동,무궁화(아)상가206호)",042-472-9342
미용업(일반),주은헤어샵,"대전광역시 서구 도림6길 2, 1층 (도마동)",042-522-0095
미용업(일반),블루클럽,"대전광역시 서구 계룡로500번길 54 (갈마동,(1층)",042-525-9619
미용업(일반),류머리방,대전광역시 서구 용문로 21 (괴정동),042-522-2023
미용업(일반),허수경미용실,"대전광역시 서구 관저북로 87 (관저동, 원앙마을1단지 상가 2층)",042-542-1209
미용업(일반),가르마헤어,"대전광역시 서구 문정로 126, 2층 (탄방동)",042-482-4847
미용업(일반),이병조헤어,"대전광역시 서구 청사로 282, 2층 207호 (둔산동)",042-484-1310
미용업(일반),주노미용실,"대전광역시 서구 가장로 106, 나르매(아)별리상가동 205호 (가장동)",042-535-3357
