"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
"공중화장실",중보공원,대전광역시 서구 만년남로3번길 101 (만년동),,N,1,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3654090394,127.3709130815,2020-01-16
"공중화장실",증촌꽃마을,,대전광역시 서구 평촌동 산24-6,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",지치울공원,대전광역시 서구 괴정로16번길 5 (괴정동),,N,0,1,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3397176941,127.3768819421,2020-01-16
"공중화장실",청산공원,,대전광역시 서구 만년동 7,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",평화공원,,대전광역시 서구 변동 254-364,N,2,1,0,0,0,0,3,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",한마음공원,,대전광역시 서구 갈마동 392-6,N,1,3,1,0,0,0,2,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",흑석유원지(누리길),,대전광역시 서구 흑석동 622,N,1,2,1,0,0,0,3,1,0,대전광역시 서구청,042-288-2733,연중무휴,,,,2020-01-16
"공중화장실",가수원공원①,대전광역시 서구 가수원중로65번길 22 (가수원동),,Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.2981900209,127.3524924319,2020-01-16
"공중화장실",가수원공원②,대전광역시 서구 가수원중로65번길 22,,N,1,2,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.2981900209,127.3524924319,2020-01-16
"공중화장실",가온학교옆,,대전광역시 서구 가수원동 839,N,1,1,0,0,0,0,2,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",갈마공원,대전광역시 서구 갈마역로 55 (갈마동),,N,1,2,1,1,0,0,4,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3555081097,127.3740078891,2020-01-16
"공중화장실",강변어린이공원,,대전광역시 서구 정림동 563,N,0,1,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",계룡공원,,대전광역시 서구 둔산동 1234,N,1,3,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",계림공원,대전광역시 서구 계백로1300번길 43 (정림동),,Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3065425314,127.3679307382,2020-01-16
"공중화장실",관저동 공영주차장,,대전광역시 서구 관저동 1510,N,0,2,1,0,0,0,2,1,0,대전광역시 서구청,042-288-4012,연중무휴,,,,2020-01-16
"공중화장실",괴곡교옆 버스정류장,,대전광역시 서구 괴곡교옆 버스정류장(서구 괴곡동 894-7 옆),Y,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",괴곡동 등산로 입구,,대전광역시 서구 괴곡동 등산로 입구(괴곡동 377-7),N,1,0,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",구봉공원,대전광역시 서구 가수원중로 43-11 (가수원동),,N,0,2,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3142,연중무휴,,36.3007728988,127.3530740789,2020-01-16
"공중화장실",남선공원①,대전광역시 서구 남선로 66 (탄방동),,N,2,2,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3464002460,127.3981777635,2020-01-16
"공중화장실",남선공원②,대전광역시 서구 남선로 66 (탄방동),,N,2,2,0,0,0,0,4,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3464002460,127.3981777635,2020-01-16
"공중화장실",내원사 옆(도마동 산7),대전광역시 서구 배재로 155-40 (도마동),,N,1,2,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3543,연중무휴,,36.3232380927,127.3660759070,2020-01-16
"공중화장실",내원사입구,,대전광역시 서구 내원사 입구(도마동 산7),N,1,0,0,0,0,0,1,0,0,대전광역시 서구청,042-288-3543,연중무휴,,,,2020-01-16
"공중화장실",느리울공원,,대전광역시 서구 관저동 1419,N,2,3,1,0,0,0,3,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",도마게이트볼장,,"대전광역시 서구 도마게이트볼장(도마동), 괴정동 415",N,0,1,0,0,0,0,1,0,0,대전광역시 서구청,042-288-2733,연중무휴,,,,2020-01-16
"공중화장실",도마실체육공원,대전광역시 서구 유등로 235,,N,2,2,0,0,0,0,3,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3121907719,127.3852119473,2020-01-16
"공중화장실",도마실체육공원(게이트볼장 옆),대전광역시 서구 유등로 235,,N,2,2,0,0,0,0,4,0,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3121907719,127.3852119473,2020-01-16
"공중화장실",도안근린공원,,대전광역시 서구 도안동 1361,N,1,1,0,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",도안운전자푸른쉼터,,대전광역시 서구 가수원동 835,N,0,2,1,0,0,0,1,1,0,대전광역시 서구청,042-288-4012,연중무휴,,,,2020-01-16
"공중화장실",도산어린이공원,,대전광역시 서구 탄방동 1051,N,0,1,1,0,0,0,0,1,0,대전광역시 서구청,042-288-3634,연중무휴,,,,2020-01-16
"공중화장실",은평공원②,,대전광역시 서구 월평동 313,N,0,2,1,0,0,2,3,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3594696440,127.3635046649,2020-01-16
"공중화장실",불티어린이공원,,대전광역시 서구 복수동 277-5,N,0,1,1,0,0,0,1,1,0,대전광역시 서구청,042-288-3634,연중무휴,,36.3076246805,127.3735074119,2020-01-16
